Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency,Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency
501,494,55.383172,44.306537,31.5,,482,506,107.349653,85.879722,31.5,,498,512,26.218671,20.974937,31.5,,499,504,120.630531,96.504425,31.5,,501,505,117.702602,94.162082,31.5,,505,503,84.87927,67.903416,31.5,
256,495,37.289159,29.831327,31.5,,470,501,106.86394,85.491152,31.5,,457,489,17.633538,14.10683,31.5,,495,480,129.491062,103.59285,31.5,,499,498,145.651271,116.521017,31.5,,507,501,84.555912,67.64473,31.5,
158,508,35.709173,28.567338,31.5,,394,500,114.079114,91.263291,31.5,,213,511,18.390886,14.712709,31.5,,498,520,130.828562,104.66285,31.5,,493,483,145.335956,116.268764,31.5,,502,493,91.829937,73.46395,31.5,
138,502,37.268639,29.814911,31.5,,507,500,105.012292,84.009834,31.5,,205,496,18.430059,14.744048,31.5,,507,500,133.768457,107.014765,31.5,,507,505,144.53554,115.628432,31.5,,498,504,74.030884,59.224707,31.5,
146,500,22.308206,29.814911,9.5,0.09439395078,512,502,54.682208,84.009834,9.5,0.3175613615,202,506,28.143148,14.744048,9.5,,497,492,98.746934,107.014765,9.5,0.2209708715,500,510,125.23786,115.628432,9.5,0.1217601293,471,506,87.120718,59.224707,9.5,-0.082591269
145,502,24.945869,29.814911,10,0.08723853073,592,500,52.883824,84.009834,10,0.3690412917,217,491,18.558771,14.744048,9,,504,508,102.79179,107.014765,10,0.2192980082,504,507,124.457356,115.628432,9,0.112907926,529,500,94.729621,59.224707,9,-0.1163975519
152,489,32.122026,29.814911,10.5,0.04088100019,526,487,55.53357,84.009834,10.5,0.393023459,197,505,20.84574,14.744048,8.5,,496,496,111.603315,107.014765,10.5,0.1760639812,499,500,121.920371,115.628432,8.5,0.1133443399,501,491,87.692226,59.224707,8.5,-0.06846890205
150,512,25.514813,29.814911,10,0.08321071567,510,514,57.042154,84.009834,11,0.4275343049,205,487,19.021388,14.744048,8,,499,503,101.197921,107.014765,10,0.2305817366,504,500,116.815112,115.628432,8,0.1238226036,502,509,93.835227,59.224707,8,-0.08846275071
148,496,32.271258,29.814911,10.5,0.03969560828,502,496,66.317191,84.009834,11.5,0.38695101,208,516,17.560787,14.744048,7.5,0.003460634164,506,499,111.936821,107.014765,10.5,0.1734148489,495,497,110.951718,115.628432,7.5,0.1336996035,496,501,97.358512,59.224707,7.5,-0.09286895979
149,487,24.882446,29.814911,10,0.08768753119,501,504,69.044023,84.009834,12,0.4035706159,182,490,12.0355,14.744048,7,0.02268875151,497,487,100.738591,107.014765,10,0.2338335439,502,497,115.546666,115.628432,8,0.1294885437,502,495,94.808586,59.224707,7,-0.07372206867
118,494,32.37572,29.814911,10.5,0.03886583712,497,496,68.61613,84.009834,12.5,0.4582005323,202,495,15.253299,14.744048,7.5,0.01264690935,495,509,104.260114,107.014765,10.5,0.2343931,501,503,122.746286,115.628432,8.5,0.1092049594,501,500,104.874089,59.224707,6.5,-0.09753477814
143,522,25.009292,29.814911,10,0.08678953028,500,504,71.863337,84.009834,13,0.468241435,191,493,11.349037,14.744048,7,0.02512441415,509,496,110.011237,107.014765,11,0.2117364461,501,476,119.293964,115.628432,8,0.1127499784,499,502,99.951978,59.224707,6,-0.07305556889
159,454,31.709775,29.814911,10.5,0.04415562628,499,500,73.354945,84.009834,13.5,0.5017351375,201,501,15.063029,14.744048,7.5,0.01340438786,493,511,103.600337,107.014765,10.5,0.239633895,495,511,114.684076,115.628432,7.5,0.1188408187,496,503,92.684145,59.224707,5.5,-0.04685487321
137,538,,,,,504,499,74.174497,84.009834,14,0.548382159,208,521,,,,,507,493,106.495158,107.014765,11,0.2430735332,505,515,118.578186,115.628432,8,0.1159472413,503,477,83.757859,59.224707,5,-0.02177598455
144,499,,,,,491,499,74.599067,84.009834,14.5,0.6068236172,205,486,,,,,475,496,115.337486,107.014765,11.5,0.18430971,500,496,114.935209,115.628432,7.5,0.1178410402,500,522,78.022654,59.224707,4.5,-0.007964628251
130,506,,,,,505,503,73.950359,84.009834,15,0.6953900601,201,512,,,,,519,510,111.306192,107.014765,11,0.2001951475,500,501,123.456985,115.628432,8,0.09415444665,499,492,75.820898,59.224707,4,-0.00318314504
